trade_id,account_id,symbol,price,quantity,side,timestamp
0,ACC_14,AAPL,101.41,98,SELL,2026-02-12 16:46:09.500860
1,ACC_0,TSLA,105.18,43,SELL,2026-02-09 00:56:09.500889
2,ACC_7,MSFT,99.9,79,SELL,2026-02-09 11:52:09.500901
3,ACC_18,MSFT,90.04,88,BUY,2026-02-10 11:50:09.500910
4,ACC_0,AAPL,98.56,53,BUY,2026-02-11 10:24:09.500917
5,ACC_0,AAPL,103.59,30,BUY,2026-02-12 15:27:09.500925
6,ACC_8,MSFT,97.79,1371,BUY,2026-02-11 13:14:09.500934
7,ACC_0,MSFT,103.26,23,SELL,2026-02-08 09:06:09.500940
8,ACC_4,MSFT,97.26,90,SELL,2026-02-11 19:10:09.500948
9,ACC_0,AAPL,98.72,10,BUY,2026-02-13 12:18:09.500955
10,ACC_16,TSLA,103.97,91,BUY,2026-02-11 16:54:09.500962
11,ACC_1,AAPL,89.01,67,BUY,2026-02-10 03:07:09.500970
12,ACC_16,TSLA,104.03,92,BUY,2026-02-07 16:52:09.500984
13,ACC_0,TSLA,99.34,61,BUY,2026-02-07 21:49:09.501021
14,ACC_6,AAPL,112.45,98,SELL,2026-02-13 08:11:09.501052
15,ACC_11,TSLA,104.41,47,SELL,2026-02-12 10:20:09.501059
16,ACC_2,TSLA,103.48,24,SELL,2026-02-14 04:59:09.501070
17,ACC_11,AAPL,94.16,30,SELL,2026-02-12 11:06:09.501078
18,ACC_8,AMZN,97.83,87,BUY,2026-02-14 08:48:09.501085
19,ACC_16,TSLA,98.36,33,BUY,2026-02-08 03:42:09.501093
20,ACC_13,AMZN,95.8,89,SELL,2026-02-11 09:24:09.501100
21,ACC_18,AAPL,102.74,77,BUY,2026-02-14 06:23:09.501108
22,ACC_10,AAPL,102.76,54,BUY,2026-02-14 13:11:09.501115
23,ACC_8,MSFT,96.65,47,SELL,2026-02-12 17:07:09.501123
24,ACC_10,MSFT,106.87,24,BUY,2026-02-12 11:32:09.501131
25,ACC_6,AAPL,101.69,66,SELL,2026-02-13 14:21:09.501138
26,ACC_16,AMZN,103.92,17,SELL,2026-02-11 04:33:09.501145
27,ACC_4,AMZN,95.85,13,BUY,2026-02-10 05:23:09.501152
28,ACC_5,AAPL,101.7,59,BUY,2026-02-12 12:47:09.501160
29,ACC_19,MSFT,95.56,94,BUY,2026-02-10 03:03:09.501167
30,ACC_9,TSLA,98.35,78,SELL,2026-02-09 07:50:09.501174
31,ACC_18,TSLA,100.22,43,BUY,2026-02-14 02:06:09.501181
32,ACC_1,MSFT,102.69,16,SELL,2026-02-12 00:37:09.501189
33,ACC_4,AAPL,101.86,55,SELL,2026-02-09 20:13:09.501197
34,ACC_10,TSLA,99.46,14,BUY,2026-02-11 01:03:09.501203
35,ACC_9,TSLA,100.45,94,BUY,2026-02-08 22:25:09.501213
36,ACC_3,AMZN,104.22,58,BUY,2026-02-09 04:08:09.501220
37,ACC_14,MSFT,97.11,50,BUY,2026-02-10 11:39:09.501227
38,ACC_14,AMZN,98.21,7,BUY,2026-02-10 00:29:09.501234
39,ACC_3,TSLA,98.67,3,BUY,2026-02-10 05:34:09.501240
40,ACC_14,AMZN,95.71,11,SELL,2026-02-14 02:19:09.501248
41,ACC_11,AAPL,95.77,70,SELL,2026-02-13 20:49:09.501256
42,ACC_0,TSLA,99.19,11,SELL,2026-02-14 03:47:09.501264
43,ACC_8,AMZN,91.86,60,BUY,2026-02-08 21:27:09.501271
44,ACC_1,AAPL,94.48,98,SELL,2026-02-12 14:10:09.501279
45,ACC_11,MSFT,97.97,1849,BUY,2026-02-09 19:48:09.501288
46,ACC_8,AAPL,99.04,29,BUY,2026-02-10 06:29:09.501296
47,ACC_12,AMZN,93.22,7,BUY,2026-02-09 08:53:09.501303
48,ACC_15,MSFT,101.45,100,SELL,2026-02-14 10:54:09.501311
49,ACC_11,AMZN,104.68,28,SELL,2026-02-08 19:39:09.501318
50,ACC_4,MSFT,95.07,91,BUY,2026-02-09 01:23:09.501325
51,ACC_18,TSLA,93.92,97,BUY,2026-02-14 09:20:09.501332
52,ACC_12,AMZN,94.44,68,SELL,2026-02-09 16:05:09.501339
53,ACC_17,TSLA,98.03,33,SELL,2026-02-12 18:51:09.501348
54,ACC_6,AMZN,104.87,47,BUY,2026-02-13 06:21:09.501356
55,ACC_13,TSLA,99.45,3,SELL,2026-02-11 19:36:09.501363
56,ACC_7,MSFT,101.77,98,SELL,2026-02-09 21:39:09.501371
57,ACC_5,AMZN,101.16,47,SELL,2026-02-11 15:29:09.501379
58,ACC_3,AAPL,93.13,86,SELL,2026-02-14 08:54:09.501386
59,ACC_15,AAPL,100.67,6,SELL,2026-02-13 19:34:09.501396
60,ACC_9,AAPL,99.67,10,SELL,2026-02-13 13:26:09.501403
61,ACC_18,MSFT,90.06,82,SELL,2026-02-13 23:21:09.501409
62,ACC_13,TSLA,97.43,67,SELL,2026-02-07 18:07:09.501417
63,ACC_10,AAPL,100.28,42,SELL,2026-02-09 03:54:09.501424
64,ACC_0,AMZN,109.84,27,SELL,2026-02-11 22:25:09.501432
65,ACC_12,AMZN,99.62,26,BUY,2026-02-07 23:56:09.501442
66,ACC_14,MSFT,105.52,78,BUY,2026-02-09 02:03:09.501449
67,ACC_6,AMZN,107.27,68,SELL,2026-02-11 07:48:09.501456
68,ACC_17,TSLA,96.77,67,SELL,2026-02-08 17:10:09.501462
69,ACC_7,MSFT,100.43,89,BUY,2026-02-12 21:08:09.501469
70,ACC_11,MSFT,105.77,64,BUY,2026-02-11 03:49:09.501476
71,ACC_2,AMZN,100.71,98,BUY,2026-02-10 05:50:09.501482
72,ACC_2,MSFT,101.08,80,SELL,2026-02-08 16:50:09.501489
73,ACC_7,AMZN,100.37,18,SELL,2026-02-10 02:32:09.501495
74,ACC_17,AMZN,102.13,1373,SELL,2026-02-10 03:02:09.501505
75,ACC_11,MSFT,104.0,99,SELL,2026-02-12 16:13:09.501512
76,ACC_1,TSLA,102.12,13,SELL,2026-02-11 12:31:09.501519
77,ACC_2,AMZN,99.86,43,SELL,2026-02-09 08:10:09.501528
78,ACC_10,MSFT,99.94,10,SELL,2026-02-10 08:08:09.501535
79,ACC_0,TSLA,91.85,34,BUY,2026-02-07 20:56:09.501542
80,ACC_0,TSLA,104.05,8,BUY,2026-02-09 07:01:09.501549
81,ACC_10,AAPL,97.53,77,BUY,2026-02-13 21:42:09.501555
82,ACC_6,AMZN,102.1,24,SELL,2026-02-12 05:50:09.501562
83,ACC_18,TSLA,101.12,59,BUY,2026-02-13 02:22:09.501568
84,ACC_0,AMZN,101.51,17,BUY,2026-02-14 03:41:09.501575
